"","MDD_species","MDD_original_combination","pbdb_accepted_name","string_distance","match_notes","MDD_family","pbdb_family","MDD_author","MDD_year","MDD_authority_parentheses","pbdb_accepted_author_name","pbdb_accepted_author_year","pbdb_accepted_author_parentheses","accepted_match","MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_genus","MDD_validity","MDD_actual_rank","MDD_continent","pbdb_accepted_no","pbdb_taxon_no"
"957","Catopuma_temminckii","Felis_tristis","Felis_prisca",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Felidae","Felidae","A. Milne-Edwards in A. David",1871,1,"Kaup",1833,FALSE,FALSE,1005983,100028413,"tristis","Carnivora","Catopuma","synonym","species","Asia",348649,348649
"958","Catopuma_temminckii","Felis_tristis","Felis_prisca",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Felidae","Felidae","A. Milne-Edwards",1872,1,"Kaup",1833,FALSE,FALSE,1005983,100004149,"tristis","Carnivora","Catopuma","synonym","species","Asia",348649,348649
"959","Cerdocyon_thous","Canis_thous","Canis_feneus",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Linnaeus",1766,1,"Tedford_et-al",2009,FALSE,FALSE,1005947,100003701,"thous","Carnivora","Cerdocyon","species","species","South America",301915,301915
"960","Cerdocyon_thous","Canis_thous","Canis_thooides",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Linnaeus",1766,1,"Tedford_et-al",2009,FALSE,FALSE,1005947,100003701,"thous","Carnivora","Cerdocyon","species","species","South America",301914,301914
"961","Cerdocyon_thous","Canis_thous","Canis_osorum",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Linnaeus",1766,1,"Cope",1873,FALSE,FALSE,1005947,100003701,"thous","Carnivora","Cerdocyon","species","species","South America",44872,44872
"962","Cerdocyon_thous","Canis_azarae","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","zu Wied-Neuwied",1824,1,"Blanford",1877,FALSE,FALSE,1005947,100003703,"azarae","Carnivora","Cerdocyon","synonym","species","South America",476477,476477
"963","Lycalopex_culpaeus","Canis_azarae","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","von Tschudi",1845,1,"Blanford",1877,FALSE,FALSE,1005954,100031701,"azarae","Carnivora","Lycalopex","synonym","species","South America",476477,476477
"964","Lycalopex_gymnocerca","Canis_azarae","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","Gay",1847,1,"Blanford",1877,FALSE,FALSE,1005957,100029378,"azarae","Carnivora","Lycalopex","synonym","species","South America",476477,476477
"965","Lycalopex_vetula","Canis_azarae","Canis_cana",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","P. W. Lund",1837,1,"Blanford",1877,FALSE,FALSE,1005959,100030494,"azarae","Carnivora","Lycalopex","synonym","species","South America",476477,476477
"966","Cerdocyon_thous","Canis_rudis","Canis_cipio",4,"different spelling on species epiteth (mdd synonyms, pbdb accepted)","Canidae","Canidae","A. Günther",1879,1,"Crusafont-Pairo",1950,FALSE,FALSE,1005947,100003711,"rudis","Carnivora","Cerdocyon","synonym","species","South America",433186,433186
