"","pbdb_taxon_name","pbdb_taxon_authority","pbdb_accepted_name","pbdb_accepted_rank","pbdb_accepted_authority","pbdb_accepted_author_name_format","pbdb_accepted_author_year","pbdb_accepted_authority_parentheses"
"1215","Monachopsis_pontica","(Eichwald 1850)","Phocidae","family","Gray 1821","GRAY","1821","no"
"1216","Messiphoca","Muizon 1981","Messiphoca","genus","Muizon 1981","MUIZON","1981","no"
"1217","Messiphoca_mauretanica","Muizon 1981","Messiphoca_mauretanica","species","Muizon 1981","MUIZON","1981","no"
"1218","Palmidophoca","Ginsburg and Janvier 1975","Phocidae","family","Gray 1821","GRAY","1821","no"
"1219","Palmidophoca_chrysar","Ginsburg and Janvier 1999","Phocidae","family","Gray 1821","GRAY","1821","no"
"1220","Pontophoca_jutlandica","Koretsky et al. 2014","Phocidae","family","Gray 1821","GRAY","1821","no"
"1221","Pachyphoca_ukrainica","Koretsky and Rahmat 2013","Phocidae","family","Gray 1821","GRAY","1821","no"
"1222","Pachyphoca_chapskii","Koretsky and Rahmat 2013","Phocidae","family","Gray 1821","GRAY","1821","no"
"1223","Monachinae","Trouessart 1897","Monachinae","subfamily","Trouessart 1897","TROUESSART","1897","no"
"1224","Lobodon","(Gray 1844)","Lobodon","genus","(Gray 1844)","GRAY","1844","yes"
"1225","Leptorhynchus","Gray 1844","Lobodon","genus","(Gray 1844)","GRAY","1844","yes"
