"","faurby_accepted_genus_species","faurby_accepted_rank"
"354","Nyctereutes_tingi","species"
"355","Osbornodon_brachypus","species"
"356","Osbornodon_fricki","species"
"357","Osbornodon_iamonensis","species"
"358","Osbornodon_renjiei","species"
"359","Osbornodon_scitulus","species"
"360","Osbornodon_sesnoni","species"
"361","Osbornodon_wangi","species"
"362","Otarocyon_cooki","species"
"363","Otarocyon_macdonaldi","species"
"364","Otocyon","genus"
"365","Otocyon_megalotis","species"
"366","Otocyon_recki","species"
"367","Oxetocyon_cuspidatus","species"
"368","Oxetocyon","genus"
"369","Paracynarctus_kelloggi","species"
"370","Paracynarctus_sinclairi","species"
"371","Paraenhydrocyon_josephi","species"
"372","Paraenhydrocyon_robustus","species"
"373","Paraenhydrocyon_wallovianus","species"
"374","Paratomarctus_euthos","species"
"375","Paratomarctus_temerarius","species"
"376","Philotrox_condoni","species"
"377","Phlaocyon_achoros","species"
"378","Phlaocyon_annectens","species"
"379","Phlaocyon","genus"
"380","Phlaocyon_latidens","species"
"381","Phlaocyon_leucosteus","species"
"382","Phlaocyon_mariae","species"
"383","Phlaocyon_marslandensis","species"
"384","Phlaocyon_minor","species"
"385","Phlaocyon_multicuspus","species"
"386","Phlaocyon_taylori","species"
"387","Phlaocyon_yatkolai","species"
"388","Protepicyon_raki","species"
"389","Protocyon_troglodytes","species"
"390","Protocyon","genus"
"391","Protomarctus_optatus","species"
"392","Prototocyon_curvipalatus","species"
"393","Psalidocyon_marianae","species"
"394","Rhizocyon_oregonensis","species"
"395","Sunkahetanka_geringensis","species"
"396","Tephrocyon_rurestris","species"
"397","Theriodictis_floriadanus","species"
"398","Theriodictis_proplatensis","species"
"399","Theriodictis","genus"
"400","Theriodictis_tarijensis","species"
"401","Tomarctus_brevirostris","species"
"402","Tomarctus","genus"
"403","Tomarctus_hippophaga","species"
"404","Urocyon_cinereoargenteus","species"
"405","Urocyon_citrinus","species"
"406","Urocyon_galushai","species"
"407","Urocyon","genus"
"408","Urocyon_minicephalus","species"
"409","Urocyon_progressus","species"
"410","Urocyon_webbi","species"
"411","Vulpes_angustidens","species"
"412","Vulpes_beihaiensis","species"
"413","Vulpes_chama","species"
"414","Vulpes_chikushanensis","species"
"415","Vulpes_corsac","species"
"416","Vulpes_galaticus","species"
"417","Vulpes","genus"
"418","Vulpes_kernensis","species"
"419","Vulpes_lagopus","species"
"420","Vulpes_mathisoni","species"
"421","Vulpes_pattersoni","species"
"422","Vulpes_praecorsac","species"
"423","Vulpes_praeglacialis","species"
"424","Vulpes_pulcher","species"
"425","Vulpes_riffautae","species"
"426","Vulpes_rueppellii","species"
"427","Vulpes_skinneri","species"
"428","Vulpes_stenognathus","species"
"429","Vulpes_velox","species"
"430","Vulpes_vulpes","species"
"431","Xenocyon_atrox","species"
"432","Xenocyon_dubius","species"
"433","Xenocyon_falconeri","species"
"434","Xenocyon","genus"
"435","Xenocyon_lycaonoides","species"
"436","Xenocyon_texanus","species"
"437","Allodesmus","genus"
"438","Allodesmus_gracilis","species"
"439","Allodesmus_kelloggi","species"
"440","Allodesmus_kernensis","species"
"441","Allodesmus_megallos","species"
"442","Allodesmus_naorai","species"
"443","Allodesmus_sadoensis","species"
"444","Atopotarus_courseni","species"
"445","Atopotarus","genus"
"446","Desmatophoca_brachycephala","species"
"447","Desmatophoca","genus"
"448","Desmatophoca_oregonensis","species"
"449","Megagomphos_sinanoensis","species"
"450","Enaliarctos_barnesi","species"
"451","Enaliarctos_emlongi","species"
"452","Enaliarctos_mealsi","species"
"453","Enaliarctos_mitchelli","species"
"454","Enaliarctos_tedfordi","species"
"455","Pacificotaria_hadromma","species"
"456","Pteronarctos_goedertae","species"
"457","Pteronarctos_piersoni","species"
"458","Cryptoprocta_ferox","species"
"459","Cryptoprocta_spelea","species"
"460","Fossa_fossana","species"
"461","Galidia_elegans","species"
"462","Galidictis_grandidieri","species"
"463","Mungotictis_decemlineata","species"
"464","Acinonyx","genus"
"465","Acinonyx_jubatus","species"
"466","Acinonyx_pardinensis","species"
"467","Adelphailurus_kansensis","species"
"468","Adelphailurus","genus"
"469","Amphimachairodus_coloradensis","species"
"470","Amphimachairodus","genus"
"471","Amphimachairodus_giganteus","species"
"472","Amphimachairodus_kabir","species"
"473","Amphimachairodus_kurteni","species"
"474","Asilifelis_coteae","species"
"475","Caracal_caracal","species"
"476","Caracal","genus"
"477","Catopuma_temminckii","species"
"478","Diamantofelis_ferox","species"
"479","Dinofelis_aronoki","species"
"480","Dinofelis_barlowi","species"
"481","Dinofelis_cristata","species"
"482","Dinofelis","genus"
"483","Dinofelis_diastemata","species"
"484","Dinofelis_palaeoonca","species"
"485","Dinofelis_petteri","species"
"486","Dinofelis_piveteaui","species"
"487","Felis_chaus","species"
"488","Felis_christoli","species"
"489","Felis","genus"
"490","Felis_lunensis","species"
"491","Felis_nigripes","species"
"492","Felis_silvestris","species"
"493","Felis_teilhardi","species"
"494","Felis_wenzensis","species"
"495","Fortunictis","genus"
"496","Fortunictis_acerensis","species"
"497","Herpailurus_yagouaroundi","species"
"498","Homotherium","genus"
"499","Homotherium_ischyrus","species"
"500","Homotherium_latidens","species"
"501","Homotherium_serum","species"
"502","Hyperailurictis_aeluroides","species"
"503","Hyperailurictis","genus"
"504","Hyperailurictis_intrepidus","species"
"505","Hyperailurictis_marshi","species"
"506","Hyperailurictis_skinneri","species"
"507","Hyperailurictis_stouti","species"
"508","Hyperailurictis_validus","species"
"509","Leopardus_amnicola","species"
"510","Leopardus_colocolo","species"
"511","Leopardus","genus"
"512","Leopardus_pardalis","species"
"513","Leopardus_tigrinus","species"
