"pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_internal_synonym","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_identified_no","pbdb_accepted_no","pbdb_old_genus","pbdb_rest"
"Machairodus_?_hesperus","recombined as","Megantereon_hesperus","Megantereon_hesperus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Megantereon",NA,NA,"?",NA,33815,36651,36905,41045,41060,NA,47843,47843,"Megantereon","hesperus"
"Ferinestrix_vorax",NA,"Ferinestrix_vorax","Ferinestrix_vorax","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Ferinestrix",NA,NA,NA,NA,33815,36651,36905,41086,41110,NA,46534,46534,"Ferinestrix","vorax"
"Ursus_n._sp._abstrusus","recombined as","Protarctos_abstrusus","Protarctos_abstrusus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Protarctos",NA,NA,NA,"n. sp.",33815,36651,36905,41301,41164,NA,52601,52601,"Protarctos","abstrusus"
"Sminthosinis_n._sp._bowleri",NA,"Sminthosinis_bowleri","Sminthosinis_bowleri","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Sminthosinis",NA,NA,NA,"n. sp.",33815,36651,36905,41086,41170,NA,51626,51626,"Sminthosinis","bowleri"
"Mustela_n._sp._gazini","subjective synonym of","Mustela_rexroadensis","Mustela_rexroadensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela",NA,NA,NA,"n. sp.",33815,36651,36905,41086,41139,NA,48852,48866,"Mustela","rexroadensis"
"Trigonictis_cf._cookii",NA,"Trigonictis_cookii","Trigonictis_cookii","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Trigonictis",NA,NA,NA,"cf.",33815,36651,36905,41086,41178,NA,52452,47809,"Trigonictis","cookii"
"Homotherium_?_idahoensis",NA,"Homotherium_idahoensis","Homotherium_idahoensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Homotherium",NA,NA,"?",NA,33815,36651,36905,41045,41056,NA,47088,47388,"Homotherium","idahoensis"
"Puma_lacustris",NA,"Puma_lacustris","Puma_lacustris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Puma",NA,NA,NA,NA,33815,36651,36905,41045,41073,NA,51266,46520,"Puma","lacustris"
"Osteoborus_n._sp._progressus","subjective synonym of","Borophagus_hilli","Borophagus_hilli","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Borophagus",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41196,NA,49479,49475,"Borophagus","hilli"
"Buisnictis_cf._schoffi",NA,"Buisnictis_schoffi","Buisnictis_schoffi","species","species",NA,"Chordata","Mammalia","Carnivora","Mephitidae","Buisnictis",NA,NA,NA,"cf.",33815,36651,36905,104743,41100,NA,44728,44728,"Buisnictis","schoffi"
