"SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","FAMILY","SUBFAMILY","GENUS","SPECIES","SIDNUM","now_accepted_name","now_accepted_rank","MAX_AGE","MIN_AGE","now_continent"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vulpavus","ovatus",80167,"Vulpavus_ovatus","species",51.91,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vulpavus","farsonensis",82145,"Vulpavus_farsonensis","species",51.91,49.27,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","hargeri",80131,"Miacis_hargeri","species",49.27,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","sylvestris",80136,"Miacis_sylvestris","species",49.27,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Palaearctonyx","meadi",80144,"Palaearctonyx_meadi","species",49.27,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","edax",80151,"Uintacyon_edax","species",51.91,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","bathygnathus",80154,"Uintacyon_bathygnathus","species",49.27,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","jugulans",80155,"Uintacyon_jugulans","species",49.27,47.96,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","aprophatos",80102,"Protictis_aprophatos","species",47.96,45.38,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","medius",80134,"Miacis_medius","species",48.64,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","washakius",80138,"Miacis_washakius","species",48.64,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","pugnax",80158,"Uintacyon_pugnax","species",48.64,47.96,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Hesperocyon","gregarius",80174,"Hesperocyon_gregarius","species",39.83,29.75,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Daphoenictis","tedfordi",80415,"Daphoenictis_tedfordi","species",39.83,33.9,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Brachyrhynchocyon","dodgei",80417,"Brachyrhynchocyon_dodgei","species",37.39,33.9,"Americas"
"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Hoplophoneus","mentalis",80499,"Hoplophoneus_mentalis","species",35.92,32.1,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Daphoenus","vetus",80418,"Daphoenus_vetus","species",35.92,29.75,"Americas"
"Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Parictis","personi",80464,"Parictis_personi","species",35.92,35.24,"Americas"
"Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Parictis","gilpini",80459,"Parictis_gilpini","species",35.92,29.75,"Americas"
"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Pogonodon","platycopsis",80491,"Pogonodon_platycopsis","species",33.9,22.2,"Americas"
"Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Parictis","dakotensis",80460,"Parictis_dakotensis","species",34.7,29.75,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Archaeocyon","leptodus",82019,"Archaeocyon_leptodus","species",32.1,22.2,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Paraenhydrocyon","josephi",80182,"Paraenhydrocyon_josephi","species",32.1,19.09,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Caedocyon","tedfordi",80184,"Caedocyon_tedfordi","species",31.4,28,"Americas"
"Eutheria","Carnivora","indet.","indet.","indet.","Palaeogale","sanguinarius",80411,"Palaeogale_sanguinarius","species",31.4,28,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Ectopocynus","antiquus",80179,"Ectopocynus_antiquus","species",32.1,28,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Ectopocynus","intermedius",80180,"Ectopocynus_intermedius","species",29.75,28,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Philotrox","condoni",80192,"Philotrox_condoni","species",29.75,28,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Enhydrocyon","pahinisintewakpa",80196,"Enhydrocyon_pahinisintewakpa","species",29.75,22.2,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cormocyon","haydeni",80274,"Cormocyon_haydeni","species",35.24,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Otarocyon","cooki",82022,"Otarocyon_cooki","species",29.75,22.2,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Phlaocyon","minor",82030,"Phlaocyon_minor","species",29.75,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Paraenhydrocyon","wallovianus",80181,"Paraenhydrocyon_wallovianus","species",28,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Enhydrocyon","crassidens",80195,"Enhydrocyon_crassidens","species",28,19.09,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Archaeocyon","falchenbachi",82020,"Archaeocyon_falchenbachi","species",28,22.2,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Paraenhydrocyon","robustus",80183,"Paraenhydrocyon_robustus","species",22.2,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Osbornodon","brachypus",80199,"Osbornodon_brachypus","species",19.09,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cynarctoides","acridens",80217,"Cynarctoides_acridens","species",28,14.78,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Phlaocyon","multicuspis",80220,"Phlaocyon_multicuspis","species",19.09,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Daphoenodon","superbus",80427,"Daphoenodon_superbus","species",19.09,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cynarctoides","luskensis",82027,"Cynarctoides_luskensis","species",19.09,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Adilophontes","brackykolos",82127,"Adilophontes_brackykolos","species",19.09,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Daphoenodon","falkenbachi",82128,"Daphoenodon_falkenbachi","species",19.09,18.5,"Americas"
