"","now_accepted_sist_subclass_superorder","now_accepted_sist_order","now_accepted_sist_suborder_superfamily","now_accepted_sist_family","now_accepted_sist_subfamily_tribe","now_accepted_sist_genus","now_accepted_sist_epithet","now_accepted_name","now_accepted_rank"
"1345","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Dinaelurus","crassus","Dinaelurus_crassus","Species"
"1346","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Dinictis","cyclops","Dinictis_cyclops","Species"
"1347","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Eusmilus","cerebralis","Eusmilus_cerebralis","Species"
"1348","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Pogonodon","davisi","Pogonodon_davisi","Species"
"1349","Eutheria","Carnivora","indet.","Nimravidae","indet.","Quercylurus","major","Quercylurus_major","Species"
"1350","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Eusmilus","indet.","Eusmilus","Genus"
"1351","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Nanosmilus","kurteni","Nanosmilus_kurteni","Species"
"1352","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Pogonodon","paucidens","Pogonodon_paucidens","Species"
"1353","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Hoplophoneus","indet.","Hoplophoneus","Genus"
"1354","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Eusmilus","belli","Eusmilus_belli","Species"
"1355","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberogale","shareri","Phoberogale_shareri","Species"
"1356","Eutheria","Carnivora","indet.","Ursidae","Amphicynodontinae","Allocyon","loganensis","Allocyon_loganensis","Species"
"1357","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Cephalogale","meschethense","Cephalogale_meschethense","Species"
"1358","Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Nimravus","mongoliensis","Nimravus_mongoliensis","Species"
"1359","Eutheria","Carnivora","Pinnipedia","Otariidae","indet.","Callorhinus","gilmorei","Callorhinus_gilmorei","Species"
"1360","Eutheria","Carnivora","indet.","Percrocutidae","indet.","Dinocrocuta","algeriensis","Dinocrocuta_algeriensis","Species"
"1361","Eutheria","Carnivora","indet.","Percrocutidae","indet.","Dinocrocuta","macrodonta","Dinocrocuta_macrodonta","Species"
"1362","Eutheria","Carnivora","indet.","Percrocutidae","indet.","Dinocrocuta","minor","Dinocrocuta_minor","Species"
"1363","Eutheria","Carnivora","indet.","Percrocutidae","indet.","Dinocrocuta","salonicae","Dinocrocuta_salonicae","Species"
"1364","Eutheria","Carnivora","indet.","Percrocutidae","indet.","Percrocuta","algeriensis","Percrocuta_algeriensis","Species"
"1365","Eutheria","Carnivora","Pinnipedia","Phocidae","indet.","indet.","indet.","indet.","Family"
"1366","Eutheria","Carnivora","Pinnipedia","Phocidae","indet.","Messiphoca","mauretanica","Messiphoca_mauretanica","Species"
"1367","Eutheria","Carnivora","Pinnipedia","Phocidae","indet.","Mirounga","indet.","Mirounga","Genus"
"1368","Eutheria","Carnivora","Pinnipedia","Phocidae","indet.","Pusa","hispida","Pusa_hispida","Species"
"1369","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Edaphocyon","pointblankensis","Edaphocyon_pointblankensis","Species"
"1370","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Probassariscus","indet.","Probassariscus","Genus"
"1371","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Arctonasua","minima","Arctonasua_minima","Species"
"1372","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Bassariscus","minimus","Bassariscus_minimus","Species"
"1373","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Bassaricyonoides","stewartae","Bassaricyonoides_stewartae","Species"
"1374","Eutheria","Carnivora","indet.","Procyonidae","indet.","Broiliana","dehmi","Broiliana_dehmi","Species"
"1375","Eutheria","Carnivora","indet.","Procyonidae","indet.","Chapalmalania","ortognatha","Chapalmalania_ortognatha","Species"
"1376","Eutheria","Carnivora","indet.","Procyonidae","indet.","Cyonasua","lutaria","Cyonasua_lutaria","Species"
"1377","Eutheria","Carnivora","indet.","Procyonidae","indet.","Cyonasua","brevirostris","Cyonasua_brevirostris","Species"
"1378","Eutheria","Carnivora","indet.","Procyonidae","Procyoninae","Paranasua","indet.","Paranasua","Genus"
"1379","Eutheria","Carnivora","indet.","Procyonidae","indet.","Plesictis","cultellatus","Plesictis_cultellatus","Species"
"1380","Eutheria","Carnivora","indet.","Procyonidae","indet.","Plesictis","solidus","Plesictis_solidus","Species"
"1381","Eutheria","Carnivora","indet.","Ursidae","indet.","Melursus","ursinus","Melursus_ursinus","Species"
"1382","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberogale","ginesticus","Phoberogale_ginesticus","Species"
"1383","Eutheria","Carnivora","indet.","Procyonidae","indet.","Plesictis","dieupentalensis","Plesictis_dieupentalensis","Species"
"1384","Eutheria","Carnivora","indet.","Procyonidae","indet.","Plesictis","milloquensis","Plesictis_milloquensis","Species"
"1385","Eutheria","Carnivora","indet.","Procyonidae","indet.","Plesictis","stenogalinus","Plesictis_stenogalinus","Species"
"1386","Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Cephalogale","minor","Cephalogale_minor","Species"
"1387","Eutheria","Carnivora","indet.","Stenoplesictidae","indet.","Asiavorator","indet.","Asiavorator","Genus"
