"MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_family","MDD_genus","MDD_species","MDD_validity","MDD_original_combination","MDD_author","MDD_year","MDD_authority_parentheses","MDD_actual_rank","MDD_continent"
1006097,100057323,"binturung","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctictis_binturung","de Elera",1895,"0","species","Asia"
1006097,100006627,"whitei","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctitis_whitei","J. A. Allen",1910,"0","species","Asia"
1006097,100006628,"pageli","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctictis_pageli","E. Schwarz",1911,"0","species","Asia"
1006097,100051699,"whitei","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctictis_whitei","Hollister",1912,"0","species","Asia"
1006097,100006629,"niasensis","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctictis_niasensis","Lyon",1916,"0","species","Asia"
1006097,100006630,"gairdneri","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","Arctictis_gairdneri","O. Thomas",1916,"0","species","Asia"
1005896,100006044,"lupinus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Phoca_lupina","G. I. Molina",1782,"1","species","South America"
1005896,100030710,"porcinus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Phoca_porcina","G. I. Molina",1782,"1","species","South America"
1005896,100006045,"australis","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","species","Phoca_australis","E. A. W. von Zimmermann",1783,"1","species","South America"
1005896,100058569,"chilensis","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Phoca_chilensis","Kerr",1792,"1","species","South America"
1005896,100006046,"falklandicus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Phoca_falklandica","G. K. Shaw",1800,"1","species","South America"
1005896,100049104,"falklandicus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Otaria_falklandica","A. G. Desmarest",1817,"1","species","South America"
1005896,100049349,"porcinus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Otaria_porcina","A. G. Desmarest",1817,"1","species","South America"
1005896,100006047,"hauvillii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Otaria_hauvillii","Lesson",1827,"1","species","South America"
1005896,100030367,"falcklandica","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Phoca_falcklandica","Lesson",1828,"1","species","South America"
